Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
461.3639@11.07,"3","75.44","97.66","55.38","58.10","1","(20S,24S)-24-ethylthornasterol","C29H48O4","Stigmasterols and C24-ethyl derivatives","","-","460.3553","2.9","[M+H]+"
461.3632@11.34,"3","78.04","99.35","99.88","62.24","3","(20S,24S)-24-ethylthornasterol","C29H48O4","Stigmasterols and C24-ethyl derivatives","","-","460.3553","1.5","[M+H]+"
429.3737@11.51,"3","77.73","98.76","99.81","57.31","3","(3beta,24R,24'R)-fucosterol epoxide","C29H48O2","Stigmasterols and C24-ethyl derivatives","","-","428.3654","2.2","[M+H]+"
,"3","77.73","98.76","99.81","57.31","3","(3beta,24S,24'S)-fucosterol epoxide","C29H48O2","Stigmasterols and C24-ethyl derivatives","","-","428.3654","2.2","[M+H]+"
,"3","77.73","98.76","99.81","57.31","3","22S-hydroxyisofucosterol","C29H48O2","Stigmasterols and C24-ethyl derivatives","","-","428.3654","2.2","[M+H]+"
550.3491@11.54,"3","68.68","18.96","81.39","54.24","1","Cucurbitacin J","C30H44O8","Cholesterol and derivatives","","-","532.3036","21.1","[M+NH4]+"
446.3739@11.79,"3","64.83","19.68","0.00","57.27","1","4alpha-carboxy-zymosterol","C28H44O3","Cholesterol and derivatives","","-","428.3290","24.7","[M+NH4]+"
,"3","64.83","19.68","0.00","57.27","1","Nebrosteroid J","C28H44O3","Cholesterol and derivatives","","-","428.3290","24.7","[M+NH4]+"
411.3625@11.90,"3","72.70","99.78","0.00","54.52","1","(3beta,5alpha,22E,24S)-Stigmasta-7,22,25-trien-3-ol","C29H46O","Stigmasterols and C24-ethyl derivatives","","-","410.3549","1.0","[M+H]+"
,"3","72.70","99.78","0.00","54.52","1","24-allenyl-cholesterol","C29H46O","Stigmasterols and C24-ethyl derivatives","","-","410.3549","1.0","[M+H]+"
,"3","72.70","99.78","0.00","54.52","1","5-Dehydro-avenasterol","C29H46O","Stigmasterols and C24-ethyl derivatives","","-","410.3549","1.0","[M+H]+"
447.3841@13.31,"3","77.69","99.09","96.03","59.55","3","24-ethyl-5alpha-cholest-25-en-3alpha,12alpha,16alpha-triol","C29H50O3","Stigmasterols and C24-ethyl derivatives","","-","446.3760","1.9","[M+H]+"
,"3","77.69","99.09","96.03","59.55","3","24-hydroperoxy-24-vinylcholesterol","C29H50O3","Stigmasterols and C24-ethyl derivatives","","-","446.3760","1.9","[M+H]+"
447.3838@14.07,"3","78.03","99.70","99.73","61.41","3","24-ethyl-5alpha-cholest-25-en-3alpha,12alpha,16alpha-triol","C29H50O3","Stigmasterols and C24-ethyl derivatives","","-","446.3760","1.1","[M+H]+"
,"3","78.03","99.70","99.73","61.41","3","24-hydroperoxy-24-vinylcholesterol","C29H50O3","Stigmasterols and C24-ethyl derivatives","","-","446.3760","1.1","[M+H]+"
860.7350@20.63,"3","76.57","98.50","79.41","55.05","1","18:0-Glc-Sitosterol","C53H94O7","Stigmasterols and C24-ethyl derivatives","","-","842.7000","1.4","[M+NH4]+"
888.7665@21.05,"3","77.51","98.26","93.34","60.36","2","20:0-Glc-Sitosterol","C55H98O7","Stigmasterols and C24-ethyl derivatives","","-","870.7313","1.5","[M+NH4]+"
914.7820@21.11,"3","77.15","98.50","89.65","56.27","1","22:0-Glc-Stigmasterol","C57H100O7","Stigmasterols and C24-ethyl derivatives","","-","896.7469","1.4","[M+NH4]+"
,"3","77.15","98.50","89.65","56.27","1","22:1-Glc-Sitosterol","C57H100O7","Stigmasterols and C24-ethyl derivatives","","-","896.7469","1.4","[M+NH4]+"
826.6427@21.12,"3","69.08","18.97","89.53","54.09","1","16:2-Glc-Stigmasterol","C51H84O7","Stigmasterols and C24-ethyl derivatives","","-","808.6217","15.6","[M+NH4]+"
,"3","69.08","18.97","89.53","54.09","1","16:3-Glc-Sitosterol","C51H84O7","Stigmasterols and C24-ethyl derivatives","","-","808.6217","15.6","[M+NH4]+"
916.7981@21.39,"3","77.69","97.49","98.72","60.13","2","22:0-Glc-Sitosterol","C57H102O7","Stigmasterols and C24-ethyl derivatives","","-","898.7626","1.8","[M+NH4]+"
916.7976@21.69,"3","77.77","98.76","98.39","59.48","2","22:0-Glc-Sitosterol","C57H102O7","Stigmasterols and C24-ethyl derivatives","","-","898.7626","1.3","[M+NH4]+"
916.7975@21.79,"3","77.63","98.97","95.69","58.99","2","22:0-Glc-Sitosterol","C57H102O7","Stigmasterols and C24-ethyl derivatives","","-","898.7626","1.1","[M+NH4]+"
858.7200@22.31,"3","74.79","96.69","35.09","67.33","4","18:0-Glc-Stigmasterol","C53H92O7","Stigmasterols and C24-ethyl derivatives","","-","840.6843","2.2","[M+NH4]+"
,"3","74.79","96.69","35.09","67.33","4","18:1-Glc-Sitosterol","C53H92O7","Stigmasterols and C24-ethyl derivatives","","-","840.6843","2.2","[M+NH4]+"
