Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
740.7122@22.65,"3","73.29","99.74","0.00","66.25","2","Cer(t20:0/26:0(2OH))","C46H93NO5","N-acyl-4-hydroxysphinganines (phytoceramides)","46:0","-","739.7054","0.7","[M+H]+"
783.6488@22.73,"3","65.35","26.69","0.00","53.55","1","SM(d18:2/22:1)","C45H87N2O6P","Ceramide phosphocholines (sphingomyelins)","40:3","-","782.6302","14.4","[M+H]+"
835.6788@22.74,"3","67.89","21.49","62.92","51.81","1","SM(d18:1/24:1(15Z))","C47H93N2O6P","Ceramide phosphocholines (sphingomyelins)","42:2","-","812.6771","14.9","[M+Na]+"
703.5669@22.75,"3","70.86","49.98","65.84","51.43","1","SM(d16:1/18:0)","C39H79N2O6P","Ceramide phosphocholines (sphingomyelins)","34:1","-","702.5676","11.3","[M+H]+"
724.7179@22.82,"3","78.07","99.98","89.17","72.37","2","Cer(t20:0/26:0)","C46H93NO4","N-acyl-4-hydroxysphinganines (phytoceramides)","46:0","-","723.7105","0.2","[M+H]+"
,"3","77.60","99.98","89.17","62.91","2","Cer(d20:0/26:0(2OH))","C46H93NO4","N-acylsphinganines (dihydroceramides)","46:0","-","723.7105","0.2","[M+H]+"
785.6633@23.11,"3","70.61","34.05","90.19","53.96","1","SM(d16:1/24:1)","C45H89N2O6P","Ceramide phosphocholines (sphingomyelins)","40:2","-","784.6458","13.0","[M+H]+"
759.6478@23.14,"3","70.90","32.47","96.99","56.00","2","SM(d16:1/22:0)","C43H87N2O6P","Ceramide phosphocholines (sphingomyelins)","38:1","-","758.6302","13.6","[M+H]+"
708.7242@23.37,"3","77.31","98.09","92.03","57.89","1","Cer(d20:0/26:0)","C46H93NO3","N-acylsphinganines (dihydroceramides)","46:0","-","707.7155","1.9","[M+H]+"
813.6856@24.96,"3","76.16","98.44","71.12","55.30","1","SM(d18:1/24:1(15Z))","C47H93N2O6P","Ceramide phosphocholines (sphingomyelins)","42:2","-","812.6771","1.5","[M+H]+"
813.6877@27.52,"3","77.04","89.64","99.46","62.13","1","SM(d18:1/24:1(15Z))","C47H93N2O6P","Ceramide phosphocholines (sphingomyelins)","42:2","-","812.6771","4.0","[M+H]+"
