Compound,Confidence,Score,Mass Score,Iso. Pat.Score,Fragment Score,Num Frag Matches,Name,Formula,Lipid Class,Sum Composition,Chains,Mass,Mass delta ppm,Adduct
833.6519@18.76,"3","73.52","98.50","0.00","73.41","5","SM(d18:2/24:1)","C47H91N2O6P","Ceramide phosphocholines (sphingomyelins)","42:3","-","810.6615","1.5","[M+Na]+"
781.6205@18.77,"3","78.66","98.74","99.47","76.21","6","SM(d16:1/22:0)","C43H87N2O6P","Ceramide phosphocholines (sphingomyelins)","38:1","-","758.6302","1.4","[M+Na]+"
759.6379@18.78,"3","78.34","99.82","99.88","67.21","2","SM(d16:1/22:0)","C43H87N2O6P","Ceramide phosphocholines (sphingomyelins)","38:1","-","758.6302","0.5","[M+H]+"
807.6354@18.86,"3","78.72","99.90","99.45","75.23","6","SM(d16:1/24:1)","C45H89N2O6P","Ceramide phosphocholines (sphingomyelins)","40:2","-","784.6458","0.4","[M+Na]+"
785.6536@18.87,"3","78.31","99.77","99.50","67.13","2","SM(d16:1/24:1)","C45H89N2O6P","Ceramide phosphocholines (sphingomyelins)","40:2","-","784.6458","0.6","[M+H]+"
592.5661@18.89,"4","94.14","99.95","0.00","82.85","3","Cer(d18:2/20:0)","C38H73NO3","N-acylsphingosines (ceramides)","38:2","18:2/20:0","591.5590","0.3","[M+H]+"
594.5826@19.05,"3","77.62","99.48","93.25","60.11","2","Cer(d18:1/20:0)","C38H75NO3","N-acylsphingosines (ceramides)","38:1","18:1/20:0","593.5747","1.1","[M+H]+"
773.6537@19.12,"3","78.09","99.59","95.78","66.75","2","SM(d16:1/23:0)","C44H89N2O6P","Ceramide phosphocholines (sphingomyelins)","39:1","-","772.6458","0.8","[M+H]+"
821.6550@19.16,"3","72.00","83.06","0.00","73.85","5","SM(d17:1/24:1)","C46H91N2O6P","Ceramide phosphocholines (sphingomyelins)","41:2","-","798.6615","5.2","[M+Na]+"
799.6692@19.16,"3","78.32","99.77","99.72","67.08","2","SM(d17:1/24:1)","C46H91N2O6P","Ceramide phosphocholines (sphingomyelins)","41:2","-","798.6615","0.6","[M+H]+"
580.5669@19.20,"3","78.82","99.55","99.06","78.33","4","Cer(d18:1/19:0)","C37H73NO3","N-acylsphingosines (ceramides)","37:1","18:1/19:0","579.5590","1.1","[M+H]+"
761.6529@19.29,"3","78.31","99.96","99.38","66.98","2","SM(d16:0/22:0)","C43H89N2O6P","Ceramide phosphocholines (sphingomyelins)","38:0","-","760.6458","0.3","[M+H]+"
773.6536@19.39,"3","78.33","99.78","99.87","67.08","2","SM(d16:1/23:0)","C44H89N2O6P","Ceramide phosphocholines (sphingomyelins)","39:1","-","772.6458","0.6","[M+H]+"
795.6368@19.41,"3","73.33","96.95","0.00","72.72","4","SM(d16:1/23:0)","C44H89N2O6P","Ceramide phosphocholines (sphingomyelins)","39:1","-","772.6458","2.2","[M+Na]+"
578.5877@19.45,"4","99.05","99.58","99.95","81.83","2","Cer(m18:1(4E)/20:0)","C38H75NO2","Other Sphingolipids","38:1","18:1/20:0","577.5798","1.0","[M+H]+"
622.6231@19.45,"3","71.04","32.63","90.11","65.46","2","Cer(d16:1/24:0)","C40H79NO3","N-acylsphingosines (ceramides)","40:1","16:1/24:0","621.6060","15.8","[M+H]+"
799.6694@19.48,"3","73.31","99.54","0.00","67.03","2","SM(d17:1/24:1)","C46H91N2O6P","Ceramide phosphocholines (sphingomyelins)","41:2","-","798.6615","0.8","[M+H]+"
821.6511@19.50,"3","78.61","99.87","99.79","72.67","5","SM(d17:1/24:1)","C46H91N2O6P","Ceramide phosphocholines (sphingomyelins)","41:2","-","798.6615","0.4","[M+Na]+"
620.5982@19.56,"3","78.99","99.58","98.98","81.63","3","Cer(d16:2(4E,6E)/24:0)","C40H77NO3","N-acylsphingosines (ceramides)","40:2","16:2/24:0","619.5903","1.0","[M+H]+"
809.6557@19.71,"3","73.65","77.77","45.59","71.92","4","SM(d16:1/24:0)","C45H91N2O6P","Ceramide phosphocholines (sphingomyelins)","40:1","-","786.6615","6.2","[M+Na]+"
813.6850@19.71,"3","78.30","99.64","99.61","67.03","2","SM(d18:1/24:1(15Z))","C47H93N2O6P","Ceramide phosphocholines (sphingomyelins)","42:2","-","812.6771","0.7","[M+H]+"
835.6667@19.71,"3","78.62","99.84","97.84","74.98","5","SM(d18:1/24:1(15Z))","C47H93N2O6P","Ceramide phosphocholines (sphingomyelins)","42:2","-","812.6771","0.5","[M+Na]+"
787.6695@19.74,"3","78.17","99.45","97.42","67.11","2","SM(d16:1/24:0)","C45H91N2O6P","Ceramide phosphocholines (sphingomyelins)","40:1","-","786.6615","0.9","[M+H]+"
628.5517@19.77,"4","90.22","17.70","86.42","82.64","2","Cer(d18:2/21:0)","C39H75NO3","N-acylsphingosines (ceramides)","39:2","18:2/21:0","605.5747","19.5","[M+Na]+"
594.5825@19.78,"4","99.44","99.67","99.08","90.41","4","Cer(d16:1/22:0)","C38H75NO3","N-acylsphingosines (ceramides)","38:1","16:1/22:0","593.5747","0.9","[M+H]+"
620.5981@19.86,"4","99.78","99.75","99.94","96.07","5","Cer(d18:2/22:0)","C40H77NO3","N-acylsphingosines (ceramides)","40:2","18:2/22:0","619.5903","0.7","[M+H]+"
809.6515@19.96,"3","78.63","99.33","97.82","76.12","6","SM(d16:1/24:0)","C45H91N2O6P","Ceramide phosphocholines (sphingomyelins)","40:1","-","786.6615","1.0","[M+Na]+"
787.6696@19.97,"3","78.27","99.28","99.64","67.22","2","SM(d16:1/24:0)","C45H91N2O6P","Ceramide phosphocholines (sphingomyelins)","40:1","-","786.6615","1.1","[M+H]+"
835.6670@20.00,"3","78.56","99.56","96.89","75.16","6","SM(d18:1/24:1(15Z))","C47H93N2O6P","Ceramide phosphocholines (sphingomyelins)","42:2","-","812.6771","0.8","[M+Na]+"
813.6852@20.00,"3","78.24","99.41","99.01","66.99","2","SM(d18:1/24:1(15Z))","C47H93N2O6P","Ceramide phosphocholines (sphingomyelins)","42:2","-","812.6771","0.9","[M+H]+"
827.7002@20.00,"3","78.33","99.97","99.96","66.65","2","SM(d17:1/26:1)","C48H95N2O6P","Ceramide phosphocholines (sphingomyelins)","43:2","-","826.6928","0.2","[M+H]+"
837.6815@20.06,"3","78.13","99.77","93.70","69.42","4","SM(d18:0/24:1(15Z))","C47H95N2O6P","Ceramide phosphocholines (sphingomyelins)","42:1","-","814.6928","0.6","[M+Na]+"
634.6143@20.09,"3","78.40","98.83","99.56","70.78","3","Cer(d18:2/23:0)","C41H79NO3","N-acylsphingosines (ceramides)","41:2","18:2/23:0","633.6060","1.6","[M+H]+"
622.6139@20.14,"3","78.23","99.53","98.37","67.19","3","Cer(d18:1/22:0)","C40H79NO3","N-acylsphingosines (ceramides)","40:1","18:1/22:0","621.6060","1.0","[M+H]+"
640.6247@20.25,"4","98.94","99.13","99.89","80.74","4","Cer(d18:0/22:0(2OH))","C40H81NO4","N-acylsphinganines (dihydroceramides)","40:0","18:0/22:0","639.6166","1.4","[M+H]+"
823.6675@20.28,"3","73.45","98.76","0.00","71.47","4","SM(d16:1/25:0)","C46H93N2O6P","Ceramide phosphocholines (sphingomyelins)","41:1","-","800.6771","1.4","[M+Na]+"
849.6829@20.28,"3","77.87","99.15","90.27","68.92","4","SM(d17:1/26:1)","C48H95N2O6P","Ceramide phosphocholines (sphingomyelins)","43:2","-","826.6928","1.1","[M+Na]+"
827.7008@20.28,"3","77.85","99.45","91.61","66.49","2","SM(d17:1/26:1)","C48H95N2O6P","Ceramide phosphocholines (sphingomyelins)","43:2","-","826.6928","0.9","[M+H]+"
801.6857@20.30,"3","78.01","98.30","96.63","66.96","2","SM(d16:1/25:0)","C46H93N2O6P","Ceramide phosphocholines (sphingomyelins)","41:1","-","800.6771","1.6","[M+H]+"
608.5986@20.31,"3","78.83","98.99","99.69","78.97","5","Cer(d16:1/23:0)","C39H77NO3","N-acylsphingosines (ceramides)","39:1","16:1/23:0","607.5903","1.5","[M+H]+"
676.6714@20.33,"3","70.80","25.08","99.96","65.95","2","Cer(d18:1/26:1(17Z))","C44H85NO3","N-acylsphingosines (ceramides)","44:2","18:1/26:1","675.6529","16.4","[M+H]+"
632.6334@20.33,"4","99.08","99.53","99.98","82.46","2","Cer(m18:1(4E)/24:1(15Z))","C42H81NO2","Other Sphingolipids","42:2","18:1/24:1","631.6267","1.0","[M+H]+"
634.6141@20.38,"4","99.73","99.23","99.89","96.17","5","Cer(d18:2/23:0)","C41H79NO3","N-acylsphingosines (ceramides)","41:2","18:2/23:0","633.6060","1.3","[M+H]+"
789.6845@20.42,"3","78.26","100.00","98.44","66.82","2","SM(d18:0/22:0)","C45H93N2O6P","Ceramide phosphocholines (sphingomyelins)","40:0","-","788.6771","0.1","[M+H]+"
648.6298@20.47,"4","94.23","99.14","0.00","86.32","4","Cer(d18:1/24:1(15Z))","C42H81NO3","N-acylsphingosines (ceramides)","42:2","18:1/24:1","647.6216","1.3","[M+H]+"
580.6035@20.49,"4","98.93","99.25","99.93","80.13","2","Cer(m18:0/20:0)","C38H77NO2","Other Sphingolipids","38:0","18:0/20:0","579.5954","1.4","[M+H]+"
801.6852@20.51,"3","78.17","99.35","97.65","67.00","2","SM(d16:1/25:0)","C46H93N2O6P","Ceramide phosphocholines (sphingomyelins)","41:1","-","800.6771","1.0","[M+H]+"
823.6670@20.51,"3","78.58","99.55","98.13","74.44","5","SM(d16:1/25:0)","C46H93N2O6P","Ceramide phosphocholines (sphingomyelins)","41:1","-","800.6771","0.8","[M+Na]+"
650.6571@20.52,"3","69.00","16.66","69.76","77.02","4","Cer(d18:1/24:0)","C42H83NO3","N-acylsphingosines (ceramides)","42:1","18:1/24:0","649.6373","19.3","[M+H]+"
,"3","68.60","16.66","69.76","68.89","3","Cer(d18:0/24:1(15Z))","C42H83NO3","N-acylsphinganines (dihydroceramides)","42:1","18:0/24:1","649.6373","19.3","[M+H]+"
606.6192@20.52,"4","99.02","99.21","99.86","82.17","2","Cer(m18:1(4E)/22:0)","C40H79NO2","Other Sphingolipids","40:1","18:1/22:0","605.6111","1.4","[M+H]+"
827.7003@20.53,"3","78.43","99.92","98.69","70.10","3","SM(d17:1/26:1)","C48H95N2O6P","Ceramide phosphocholines (sphingomyelins)","43:2","-","826.6928","0.3","[M+H]+"
648.6299@20.61,"4","99.65","98.86","98.04","97.17","4","Cer(d18:1/24:1(15Z))","C42H81NO3","N-acylsphingosines (ceramides)","42:2","18:1/24:1","647.6216","1.5","[M+H]+"
841.7162@20.82,"3","78.38","99.70","99.15","69.00","3","SM(d18:1/26:1(17Z))","C49H97N2O6P","Ceramide phosphocholines (sphingomyelins)","44:2","-","840.7084","0.7","[M+H]+"
